3,6,18,3,8,7,10,54,False
2,2,7,2,1,1,3,4,False
3,2,21,2,3,2,2,11,False
6,7,2,2,7,6,4,25,False
10,15,13,3,10,9,9,9,False
1,5,6,3,9,8,10,13,False
2,4,2,2,7,6,7,28,False
2,7,4,2,8,7,8,8,False
2,4,9,2,11,10,8,29,False
1,2,2,2,2,2,1,19,False
3,6,10,2,4,4,2,3,False
6,8,32,2,10,9,5,18,False
4,3,1,2,9,9,7,0,False
1,0,2,2,0,0,1,0,False
2,4,6,2,10,9,7,28,False
1,1,3,0,1,1,2,9,False
1,2,15,3,3,2,3,8,False
4,7,5,2,10,9,6,43,False
1,1,4,2,3,2,2,15,False
6,6,10,2,4,3,2,4,False
1,0,1,2,0,0,0,0,False
5,17,6,2,8,7,8,13,False
3,3,2,4,3,2,2,11,False
1,0,1,2,0,0,0,0,False
3,5,1,2,5,4,4,20,False
5,7,1,2,5,4,5,8,False
1,1,2,2,6,5,4,28,False
3,4,11,2,6,5,4,12,False
2,2,1,2,3,2,3,10,False
1,1,1,2,1,1,0,8,False
1,1,1,2,1,1,0,4,False
1,0,1,2,1,0,1,3,False
0,8,4,2,5,4,3,41,False
3,0,7,3,3,2,1,2,False
4,2,6,2,3,3,3,7,False
4,5,3,2,5,4,2,0,False
1,1,1,2,1,1,0,6,False
1,0,3,8,1,0,3,0,False
1,0,1,2,1,1,0,2,False
7,29,23,6,12,11,6,0,True
1,2,3,2,4,3,2,16,False
2,0,1,2,0,0,0,0,False
1,9,2,2,3,3,4,4,False
2,2,1,2,2,2,1,5,False
3,4,4,3,5,4,5,11,False
1,1,3,2,2,2,1,0,False
1,2,1,2,2,2,4,20,False
6,9,24,2,6,5,6,2,False
5,4,1,2,5,4,2,14,False
2,2,16,3,4,3,4,11,False
2,8,11,7,7,6,6,13,False
2,2,3,2,5,4,5,20,False
6,34,20,100,15,14,9,18,False
1,9,15,3,10,9,6,29,False
3,2,2,0,3,2,2,11,False
1,3,2,3,4,3,2,19,False
3,2,3,2,5,4,4,6,False
1,4,1,2,5,4,2,11,False
2,1,9,3,1,1,1,0,False
1,7,3,2,6,5,5,26,False
1,0,1,3,0,0,0,0,False
2,5,2,3,8,7,7,23,False
1,2,5,2,4,3,3,20,False
1,2,2,6,3,3,3,4,False
2,1,1,2,13,12,8,40,False
1,1,1,2,1,1,1,6,False
5,6,1,2,4,3,3,8,False
6,8,7,3,14,13,16,172,False
8,12,23,9,9,8,10,129,False
1,2,1,2,1,1,0,2,False
1,6,3,2,12,11,6,17,False
5,8,1,2,9,9,7,0,False
1,0,0,1,0,0,0,0,False
4,8,3,4,9,8,5,11,False
1,1,3,2,3,2,4,11,False
6,10,37,5,7,6,7,63,False
3,2,1,2,3,2,2,11,False
1,3,6,2,4,3,1,0,False
2,2,1,3,4,3,5,45,False
4,6,4,2,11,10,6,25,False
6,9,15,8,9,8,8,44,False
3,5,11,2,7,6,8,26,False
1,0,2,2,1,0,1,0,False
1,3,4,5,4,3,2,0,False
2,1,1,2,1,1,0,3,False
1,1,1,2,1,1,0,2,False
